PerformanceID,CampaignID,AdFormat,Impressions,Clicks,Cost,CampaignName,Objective,StartDate,EndDate,Budget,TargetGender,TargetAgeGroup,TargetInterests,AdPlatform,Company,CampaignDurationDays,CPM,CPC,CTR,CostPerDay,Year,Month,MonthNum
ADP-1,CAMP-201,Story Ad,114775,290,1301.16,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,11.34,4.4868,0.252668264,56.5722,2024,Mar,3
ADP-2,CAMP-201,Carousel Ad,178056,1636,1807.28,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,10.15,1.1047,0.918812059,78.5774,2024,Mar,3
ADP-3,CAMP-201,Video Ad,297497,1542,3804.3,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,12.79,2.4671,0.518324555,165.4043,2024,Mar,3
ADP-4,CAMP-201,Video Ad,329550,1931,4103.19,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,12.45,2.1249,0.585950539,178.3996,2024,Mar,3
ADP-5,CAMP-201,Image Ad,302173,267,3792.45,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,12.55,14.2039,0.088359979,164.8891,2024,Mar,3
ADP-6,CAMP-201,Story Ad,280618,1058,3244.01,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,11.56,3.0662,0.377024995,141.0439,2024,Mar,3
ADP-7,CAMP-201,Carousel Ad,156347,437,2400.41,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,15.35,5.4929,0.279506482,104.3657,2024,Mar,3
ADP-8,CAMP-201,Video Ad,140990,1356,1630.57,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,11.57,1.2025,0.961770338,70.8943,2024,Mar,3
ADP-9,CAMP-201,Image Ad,446839,361,4835.06,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,10.82,13.3935,0.080789725,210.22,2024,Mar,3
ADP-10,CAMP-201,Carousel Ad,292596,1258,2978.28,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,10.18,2.3675,0.42994436,129.4904,2024,Mar,3
ADP-11,CAMP-201,Video Ad,294628,1722,3659.63,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,12.42,2.1252,0.584465835,159.1143,2024,Mar,3
ADP-12,CAMP-201,Video Ad,112828,1259,1611.74,Winter Traffic Campaign,Brand Awareness,7/3/2024,30/3/2024,219357.05,Female,35-44,"art, technology",Facebook,Alliant Energy,23,14.28,1.2802,1.115857766,70.0757,2024,Mar,3
