Feature,Importance
CampaignDurationDays,1352
MonthNum,636
AdFormat_Video_Ad,497
AdFormat_Story_Ad,407
AdFormat_Image_Ad,399
TargetGender_Female,227
Objective_Lead_Generation,219
TargetAgeGroup_35_44,217
Objective_Sales,191
Year,190
AdPlatform_Instagram,178
TargetAgeGroup_25_34,152
TargetGender_Male,151
TargetInterests_fashion,148
TargetInterests_health,132
Objective_Traffic,131
Objective_Engagement,121
TargetInterests_gaming,115
TargetInterests_news,111
TargetInterests_photography,110
Objective_Reach,108
TargetInterests_travel,105
TargetInterests_food,105
TargetInterests_sports,101
TargetInterests_technology,99
TargetInterests_finance,95
TargetInterests_lifestyle,95
TargetAgeGroup_All,86
TargetInterests_travel_finance,73
TargetInterests_finance_travel,72
TargetInterests_fitness,71
TargetInterests_finance_sports,62
TargetInterests_fashion_gaming,62
TargetInterests_gaming_health,61
TargetInterests_health_sports,60
TargetInterests_fitness_photography,59
TargetInterests_photography_finance,58
TargetInterests_gaming_travel,57
TargetInterests_health_finance,53
TargetInterests_finance_health,50
TargetInterests_travel_fashion,48
TargetInterests_finance_lifestyle,48
TargetInterests_art_photography,47
TargetInterests_sports_food,46
TargetInterests_sports_photography,45
TargetInterests_photography_technology,44
TargetInterests_gaming_food,44
TargetInterests_travel_technology,44
TargetInterests_health_art,42
TargetInterests_finance_technology,41
TargetInterests_technology_travel,40
TargetInterests_sports_travel,40
TargetInterests_finance_photography,40
TargetInterests_fitness_lifestyle,39
TargetInterests_gaming_technology,38
TargetInterests_health_fashion,38
TargetInterests_fitness_technology,37
TargetInterests_travel_health,37
TargetInterests_news_fashion,35
TargetInterests_technology_health,35
TargetInterests_gaming_photography,34
TargetInterests_fitness_art,33
TargetInterests_art_finance,32
TargetInterests_gaming_news,32
TargetInterests_sports_technology,31
TargetInterests_technology_lifestyle,27
TargetInterests_art_fashion,27
TargetInterests_lifestyle_news,25
TargetInterests_photography_fitness,22
TargetInterests_technology_news,22
TargetInterests_food_gaming,20
TargetInterests_fashion_news,20
TargetInterests_art_travel,20
TargetInterests_travel_gaming,20
TargetInterests_fitness_sports,20
TargetInterests_sports_gaming,19
TargetInterests_news_health,19
TargetInterests_fashion_technology,18
TargetInterests_health_fitness,18
TargetInterests_fitness_health,18
TargetInterests_fitness_finance,17
TargetInterests_lifestyle_fitness,17
TargetInterests_gaming_art,17
TargetInterests_fashion_lifestyle,16
TargetInterests_health_lifestyle,16
TargetInterests_lifestyle_gaming,14
TargetInterests_travel_art,11
TargetInterests_sports_health,11
TargetInterests_health_food,10
TargetInterests_finance_news,9
TargetInterests_gaming_sports,9
TargetInterests_technology_fashion,8
TargetInterests_art_technology,8
TargetInterests_fashion_photography,8
TargetInterests_food_fashion,7
TargetInterests_fitness_gaming,5
TargetInterests_sports_finance,4
TargetInterests_news_art,4
TargetInterests_art_news,3
TargetInterests_lifestyle_technology,3
TargetInterests_sports_lifestyle,1
TargetInterests_food_travel,1
TargetInterests_health_gaming,0
TargetInterests_news_sports,0
TargetInterests_news_travel,0
TargetInterests_travel_photography,0
