Feature,Importance,Coefficient
Objective_Sales,8.79828887438317,8.79828887438317
Objective_Lead_Generation,7.930757371657901,7.930757371657901
TargetInterests_health_lifestyle,6.157684100308852,6.157684100308852
TargetInterests_photography_finance,5.671880121595532,5.671880121595532
TargetInterests_finance_news,5.574682652986052,5.574682652986052
AdPlatform_Instagram,4.788715789244939,4.788715789244939
TargetInterests_fashion_photography,4.153107132780053,4.153107132780053
TargetInterests_travel,4.083477334583638,4.083477334583638
TargetInterests_health_food,4.016190980357826,4.016190980357826
TargetInterests_travel_art,4.012870595289995,4.012870595289995
TargetInterests_health_gaming,3.983165650600409,3.983165650600409
TargetInterests_art_photography,3.846285959279248,3.846285959279248
TargetInterests_travel_health,3.761156277683876,3.761156277683876
TargetInterests_finance_photography,3.7561870964917423,3.7561870964917423
TargetInterests_fashion_technology,3.713983684647678,3.713983684647678
TargetInterests_finance_technology,3.6796368975383738,3.6796368975383738
TargetAgeGroup_35_44,3.636408632414746,3.636408632414746
TargetInterests_gaming_technology,3.4728631728594372,3.4728631728594372
TargetInterests_fitness_finance,3.465731036648908,3.465731036648908
TargetInterests_health_sports,3.398852219022633,3.398852219022633
Objective_Traffic,3.358985631417665,3.358985631417665
TargetInterests_sports_technology,3.354905435716249,3.354905435716249
TargetInterests_sports_travel,3.341089436972008,3.341089436972008
TargetInterests_travel_finance,3.246247098095528,3.246247098095528
TargetInterests_technology_health,3.2392290865274496,3.2392290865274496
TargetInterests_photography_technology,3.227848445823469,3.227848445823469
TargetInterests_gaming_health,3.207292637821155,3.207292637821155
TargetInterests_travel_technology,3.2065557524154906,3.2065557524154906
TargetInterests_gaming_photography,3.1942982277923795,3.1942982277923795
TargetInterests_health,3.172252635154983,3.172252635154983
TargetInterests_travel_photography,3.1716904275809075,3.1716904275809075
TargetInterests_finance_lifestyle,3.146253375883324,3.146253375883324
TargetInterests_finance,3.0651059213632315,3.0651059213632315
TargetInterests_photography,3.046561150812937,3.046561150812937
TargetInterests_finance_sports,2.974963315449019,2.974963315449019
TargetInterests_gaming_news,2.9383969688221923,-2.9383969688221923
TargetInterests_gaming_travel,2.9124581766310467,2.9124581766310467
TargetInterests_technology,2.9122766496306185,2.9122766496306185
TargetInterests_travel_fashion,2.8285479932367315,2.8285479932367315
TargetInterests_health_fashion,2.782754996562488,2.782754996562488
TargetInterests_news_health,2.7178335254563883,2.7178335254563883
TargetInterests_health_fitness,2.7037915922790186,2.7037915922790186
TargetInterests_fitness_technology,2.6667983866514318,2.6667983866514318
TargetInterests_art_travel,2.6146764117877987,2.6146764117877987
TargetInterests_health_art,2.5992838783543664,2.5992838783543664
Objective_Engagement,2.5939151117911994,2.5939151117911994
TargetInterests_art_finance,2.5740865757979696,2.5740865757979696
TargetInterests_lifestyle_technology,2.498608915666044,2.498608915666044
TargetInterests_technology_lifestyle,2.484999942973485,2.484999942973485
TargetInterests_technology_travel,2.461444834382365,2.461444834382365
TargetInterests_travel_gaming,2.4493477626439586,2.4493477626439586
TargetInterests_food_travel,2.4476309939787044,2.4476309939787044
TargetInterests_health_finance,2.4057933012030714,2.4057933012030714
TargetInterests_finance_travel,2.381826235624837,2.381826235624837
AdFormat_Story_Ad,2.3379683773656867,-2.3379683773656867
TargetInterests_technology_news,2.300437858739163,2.300437858739163
TargetInterests_fitness_health,2.2865560954621142,2.2865560954621142
TargetInterests_sports_finance,2.128781433690117,2.128781433690117
TargetInterests_fitness_photography,2.0714221287959207,2.0714221287959207
TargetInterests_photography_fitness,1.9587289737727758,1.9587289737727758
TargetInterests_finance_health,1.9064058033684947,1.9064058033684947
TargetInterests_sports_health,1.8563461633770246,1.8563461633770246
TargetInterests_news_art,1.7915381490831512,-1.7915381490831512
AdFormat_Image_Ad,1.673848735928133,-1.673848735928133
TargetInterests_technology_fashion,1.6342593080188335,1.6342593080188335
TargetInterests_sports_food,1.5473620160406454,-1.5473620160406454
TargetInterests_art_technology,1.4891004189516055,1.4891004189516055
TargetInterests_lifestyle_fitness,1.4463044262187106,-1.4463044262187106
TargetInterests_news_sports,1.4074984202900662,-1.4074984202900662
TargetInterests_food_fashion,1.403550430801113,-1.403550430801113
TargetInterests_fitness_gaming,1.3991645118541582,-1.3991645118541582
TargetInterests_sports_photography,1.371299429574107,1.371299429574107
AdFormat_Video_Ad,1.3327014305754794,1.3327014305754794
TargetInterests_gaming_food,1.3123474379044344,1.3123474379044344
TargetAgeGroup_25_34,1.2128016730072138,1.2128016730072138
TargetInterests_food,1.1919168840850123,-1.1919168840850123
TargetInterests_fashion_news,0.9152974316488743,-0.9152974316488743
TargetAgeGroup_All,0.9034789077667835,0.9034789077667835
TargetInterests_news_travel,0.8681580855968166,0.8681580855968166
TargetInterests_lifestyle_news,0.8369154523389768,-0.8369154523389768
TargetInterests_fitness_lifestyle,0.8282338810957864,-0.8282338810957864
TargetGender_Female,0.7594412731726394,0.7594412731726394
TargetInterests_sports_gaming,0.7536385823763792,-0.7536385823763792
TargetInterests_food_gaming,0.7533846301816474,-0.7533846301816474
TargetInterests_news_fashion,0.6325475409584779,-0.6325475409584779
TargetInterests_gaming,0.6088821791016212,-0.6088821791016212
TargetInterests_gaming_art,0.5961834332313093,0.5961834332313093
TargetInterests_news,0.5794100932756027,-0.5794100932756027
TargetInterests_fashion_gaming,0.5216044148876786,-0.5216044148876786
TargetInterests_fitness,0.5029055245645491,-0.5029055245645491
TargetInterests_sports_lifestyle,0.493661093346865,0.493661093346865
TargetInterests_lifestyle_gaming,0.4914121051070145,0.4914121051070145
TargetInterests_fashion,0.4236132951756515,-0.4236132951756515
TargetGender_Male,0.3963680454967642,-0.3963680454967642
TargetInterests_gaming_sports,0.383175105617977,0.383175105617977
TargetInterests_art_fashion,0.3387440166105705,-0.3387440166105705
Objective_Reach,0.2914586597129618,0.2914586597129618
TargetInterests_fashion_lifestyle,0.2531201658277198,0.2531201658277198
TargetInterests_sports,0.13447414933503987,-0.13447414933503987
TargetInterests_lifestyle,0.12805195966428995,-0.12805195966428995
CampaignDurationDays,0.08703789809370456,-0.08703789809370456
TargetInterests_fitness_art,0.08647479411610715,0.08647479411610715
TargetInterests_art_news,0.06902151940965312,0.06902151940965312
Year,0.06199098196726949,-0.06199098196726949
MonthNum,0.03913008260649242,-0.03913008260649242
