Training_Size,Training_R2_Mean,Training_R2_Std,Validation_R2_Mean,Validation_R2_Std
380,0.9089484610072605,0.010432993749567503,0.8225093124863916,0.010609045992349995
760,0.9186586949575165,0.0021512931158391632,0.8594307796895647,0.005301358828169206
1141,0.9180159007396919,0.0018173174292100878,0.8746832990478361,0.0034642741440062846
1521,0.9143394197987977,0.002784186625521787,0.8833483787535149,0.00249099191082393
1902,0.913311253116045,0.0019784932013720475,0.8872163536772444,0.004127607077721966
2282,0.9108855878487414,0.0020268070240227485,0.8906848910002777,0.003497295268054316
2662,0.90947096984681,0.0013519370562798643,0.8919038257214302,0.0036840545751343915
3043,0.9092963156922268,0.0007578688829817838,0.8946795258424227,0.0034521065818481117
3423,0.908854534552767,0.0012088576626419676,0.8950206845049976,0.004041637546852907
3804,0.9087249304202741,0.0007305887472526704,0.8957954840706183,0.002905351537081609
