Training_Size,Training_R2_Mean,Training_R2_Std,Validation_R2_Mean,Validation_R2_Std
380,0.9646129318255514,0.0026221190841331705,0.8095980080864408,0.012555444503180899
760,0.9539615697137259,0.0018175410130195425,0.8510888105718522,0.008014664790576003
1141,0.9448883960521204,0.0010944536378788676,0.869539142166316,0.0059692784301622285
1521,0.9365821306263526,0.0018315709722153248,0.8796746875335275,0.0023329214276675784
1902,0.9325272657710262,0.001472421177625404,0.8846796633719951,0.0039045685848087645
2282,0.9277629045728668,0.0012431439508001371,0.8880257568623883,0.004458952699252129
2662,0.9243182005292935,0.0013574433336200722,0.8910749587309624,0.003814575223027373
3043,0.9214127768130869,0.0006502951671057136,0.8927450105709098,0.0037372077151770207
3423,0.9195268335090676,0.0008910717861423074,0.8941905448031197,0.003922575971610616
3804,0.9188640061822815,0.0007549555636654058,0.8952956488979057,0.0032659556187663004
