Training_Size,Training_R2_Mean,Training_R2_Std,Validation_R2_Mean,Validation_R2_Std
380,0.9187913626233559,0.0032249073457149315,0.8487438987794931,0.007561759391244098
760,0.9109663824516104,0.002045262486342621,0.8756852818567825,0.004522751678587287
1141,0.907226633505951,0.0010072746961932442,0.8832108398013597,0.00488169700269886
1521,0.9029246541569108,0.0015735754247919978,0.8863284300659909,0.004270664623349053
1902,0.9018365204900558,0.0014292503100511666,0.8880556321733545,0.004733138086293958
2282,0.8997887923973009,0.0010201449841368353,0.8893054395392255,0.005355375765345635
2662,0.8987949855298071,0.0007964508321720543,0.890205738305055,0.005319057442041737
3043,0.8977293933076247,0.0006490483433453037,0.8908643470688462,0.005209871809117101
3423,0.8974076409132928,0.0010757823055166345,0.8914878854230229,0.005250597182815475
3804,0.8978839813667634,0.0011070549831305994,0.8918719409810318,0.004848631433334438
