Feature,Importance
Cost,1398
CampaignDurationDays,999
MonthNum,554
Year,186
AdPlatform_Instagram,176
TargetGender_Female,167
Objective_Sales,159
AdFormat_Video_Ad,157
Objective_Lead_Generation,156
TargetGender_Male,148
TargetAgeGroup_35_44,136
AdFormat_Story_Ad,130
Objective_Engagement,124
Objective_Reach,119
AdFormat_Image_Ad,105
TargetAgeGroup_25_34,91
Objective_Traffic,91
TargetAgeGroup_All,87
TargetInterests_news,68
TargetInterests_fashion_gaming,64
TargetInterests_fashion,63
TargetInterests_sports,60
TargetInterests_finance_travel,59
TargetInterests_fitness,42
TargetInterests_lifestyle,41
TargetInterests_photography,36
TargetInterests_health,35
TargetInterests_gaming,35
TargetInterests_food,35
TargetInterests_travel,31
TargetInterests_finance_sports,30
TargetInterests_health_fitness,30
TargetInterests_health_sports,30
TargetInterests_finance,25
TargetInterests_technology_travel,23
TargetInterests_travel_finance,23
TargetInterests_technology,22
TargetInterests_gaming_health,22
TargetInterests_health_fashion,19
TargetInterests_travel_technology,18
TargetInterests_lifestyle_gaming,17
TargetInterests_fitness_lifestyle,13
TargetInterests_fitness_health,8
TargetInterests_finance_lifestyle,6
TargetInterests_fitness_finance,0
TargetInterests_finance_technology,0
TargetInterests_fitness_art,0
TargetInterests_finance_health,0
TargetInterests_fashion_technology,0
TargetInterests_finance_news,0
TargetInterests_finance_photography,0
TargetInterests_fashion_photography,0
TargetInterests_art_fashion,0
TargetInterests_art_news,0
TargetInterests_art_photography,0
TargetInterests_art_travel,0
TargetInterests_art_technology,0
TargetInterests_fashion_lifestyle,0
TargetInterests_fashion_news,0
TargetInterests_art_finance,0
TargetInterests_fitness_gaming,0
TargetInterests_gaming_sports,0
TargetInterests_gaming_photography,0
TargetInterests_gaming_news,0
TargetInterests_gaming_food,0
TargetInterests_gaming_art,0
TargetInterests_health_art,0
TargetInterests_gaming_travel,0
TargetInterests_gaming_technology,0
TargetInterests_food_travel,0
TargetInterests_fitness_sports,0
TargetInterests_fitness_technology,0
TargetInterests_food_fashion,0
TargetInterests_food_gaming,0
TargetInterests_fitness_photography,0
TargetInterests_news_art,0
TargetInterests_lifestyle_technology,0
TargetInterests_lifestyle_news,0
TargetInterests_lifestyle_fitness,0
TargetInterests_health_finance,0
TargetInterests_health_food,0
TargetInterests_health_gaming,0
TargetInterests_health_lifestyle,0
TargetInterests_photography_technology,0
TargetInterests_sports_finance,0
TargetInterests_news_sports,0
TargetInterests_news_fashion,0
TargetInterests_news_travel,0
TargetInterests_photography_finance,0
TargetInterests_photography_fitness,0
TargetInterests_news_health,0
TargetInterests_sports_technology,0
TargetInterests_sports_photography,0
TargetInterests_sports_lifestyle,0
TargetInterests_sports_health,0
TargetInterests_sports_gaming,0
TargetInterests_sports_food,0
TargetInterests_technology_health,0
TargetInterests_sports_travel,0
TargetInterests_technology_lifestyle,0
TargetInterests_technology_news,0
TargetInterests_technology_fashion,0
TargetInterests_travel_art,0
TargetInterests_travel_gaming,0
TargetInterests_travel_fashion,0
TargetInterests_travel_photography,0
TargetInterests_travel_health,0
