Feature,Importance
AdPlatform_Instagram,0.13678212
Objective_Lead_Generation,0.11393727
Objective_Sales,0.09583664
Objective_Reach,0.073489174
Cost,0.069999285
TargetAgeGroup_35_44,0.038102467
TargetInterests_fitness,0.024004877
Objective_Engagement,0.023007404
TargetInterests_health,0.022937331
TargetInterests_sports,0.018345524
TargetInterests_gaming_food,0.017135967
TargetInterests_fashion,0.016464101
TargetInterests_food,0.015814794
AdFormat_Story_Ad,0.014671179
TargetInterests_gaming_news,0.012767148
AdFormat_Video_Ad,0.012764101
TargetInterests_fashion_gaming,0.011894207
Objective_Traffic,0.009939872
TargetInterests_technology,0.009784962
TargetInterests_news,0.009619662
TargetGender_Female,0.009073349
TargetInterests_travel,0.008383159
AdFormat_Image_Ad,0.0081383595
CampaignDurationDays,0.007789215
TargetInterests_gaming_health,0.007485454
TargetInterests_health_art,0.006769964
TargetInterests_art_fashion,0.006745825
TargetInterests_finance_lifestyle,0.0062455963
TargetInterests_finance,0.0061169947
TargetAgeGroup_All,0.0059212493
TargetGender_Male,0.0057884227
TargetInterests_lifestyle,0.005701213
TargetInterests_health_sports,0.005648638
TargetInterests_finance_photography,0.005463662
TargetAgeGroup_25_34,0.004946294
TargetInterests_gaming_travel,0.004830256
TargetInterests_lifestyle_news,0.0047109616
TargetInterests_lifestyle_fitness,0.0045527983
TargetInterests_fashion_lifestyle,0.0042344565
TargetInterests_gaming,0.0041572447
TargetInterests_travel_fashion,0.004059455
Year,0.003862801
TargetInterests_health_finance,0.0038309693
TargetInterests_sports_travel,0.003789345
TargetInterests_art_news,0.0036806462
TargetInterests_food_fashion,0.003549505
TargetInterests_technology_travel,0.0034653044
TargetInterests_technology_news,0.0034050047
TargetInterests_gaming_technology,0.003395082
TargetInterests_travel_finance,0.003348348
TargetInterests_fitness_art,0.0032658684
TargetInterests_food_travel,0.0032599997
TargetInterests_fitness_lifestyle,0.0032390382
TargetInterests_travel_gaming,0.00317402
MonthNum,0.0031475956
TargetInterests_art_finance,0.003121068
TargetInterests_fashion_news,0.0031202896
TargetInterests_technology_lifestyle,0.003009936
TargetInterests_finance_sports,0.00300453
TargetInterests_finance_health,0.0028482883
TargetInterests_health_fitness,0.0027400805
TargetInterests_art_photography,0.0026997272
TargetInterests_fashion_technology,0.0026455594
TargetInterests_news_fashion,0.0025667718
TargetInterests_photography,0.0025004628
TargetInterests_lifestyle_gaming,0.0024684833
TargetInterests_news_health,0.0021657543
TargetInterests_finance_technology,0.002109929
TargetInterests_fitness_photography,0.0020541002
TargetInterests_finance_travel,0.0020180896
TargetInterests_sports_photography,0.001998402
TargetInterests_fitness_finance,0.00193382
TargetInterests_sports_food,0.0019184444
TargetInterests_photography_technology,0.0018010595
TargetInterests_art_travel,0.0017606159
TargetInterests_sports_technology,0.0017157246
TargetInterests_gaming_sports,0.0016701042
TargetInterests_photography_finance,0.0016550617
TargetInterests_sports_gaming,0.0015371208
TargetInterests_fitness_sports,0.0014879558
TargetInterests_food_gaming,0.0014051596
TargetInterests_travel_technology,0.0013903513
TargetInterests_travel_health,0.0013704762
TargetInterests_fitness_health,0.0013456505
TargetInterests_news_sports,0.0012444585
TargetInterests_health_fashion,0.0011254648
TargetInterests_art_technology,0.0011130949
TargetInterests_gaming_photography,0.0010928398
TargetInterests_travel_art,0.0010539612
TargetInterests_fitness_gaming,0.0009647285
TargetInterests_travel_photography,0.0009539097
TargetInterests_gaming_art,0.0009279391
TargetInterests_health_lifestyle,0.0008448195
TargetInterests_fashion_photography,0.00080252
TargetInterests_news_travel,0.00077131274
TargetInterests_finance_news,0.00069285114
TargetInterests_sports_lifestyle,0.00069043227
TargetInterests_sports_health,0.0006346642
TargetInterests_fitness_technology,0.00057761173
TargetInterests_health_gaming,0.0005591078
TargetInterests_health_food,0.00054681994
TargetInterests_sports_finance,0.00048222335
TargetInterests_technology_fashion,0.0003840581
TargetInterests_news_art,0.0
TargetInterests_lifestyle_technology,0.0
TargetInterests_photography_fitness,0.0
TargetInterests_technology_health,0.0
