Training_Size,Training_R2_Mean,Training_R2_Std,Validation_R2_Mean,Validation_R2_Std
380,0.924066716486822,0.00736521330660541,0.817062281420246,0.013658409715120421
760,0.9174036146839508,0.008040661861748732,0.8477754259550805,0.012027933093342486
1141,0.9239191512191368,0.004182776783041388,0.863625641859084,0.01014475314793993
1521,0.9179127758799812,0.0049641161475167716,0.8682911553265213,0.015617131586616255
1902,0.9127777276005542,0.005204479869630735,0.8718844404350014,0.015476273506501046
2282,0.9104204937466616,0.002603181028104839,0.8819286443923856,0.013781204512819464
2662,0.907588159126713,0.0043499579713687005,0.8806973239861341,0.009984632136510567
3043,0.9059079491419386,0.0037037484265508703,0.883230646379675,0.011794885713783496
3423,0.9060922879863167,0.0015681976577900584,0.8842130451290722,0.015037008578638862
3804,0.9075970814070532,0.002727162243969363,0.8880757055816695,0.012160889822227716
