Training_Size,Training_R2_Mean,Training_R2_Std,Validation_R2_Mean,Validation_R2_Std
380,0.9411042061529115,0.005786990871804664,0.7828473322824022,0.020981785254607983
760,0.9334579845707605,0.004872647078690002,0.8245096848602664,0.020850965285343526
1141,0.938091601292875,0.0039039512221221025,0.8492054981594779,0.012666180009709106
1521,0.9319401981793545,0.0038838631171042837,0.8573249448869176,0.014801798950778672
1902,0.9247652410609433,0.005078727666618961,0.8633494567047091,0.010141220814758546
2282,0.9193386388794013,0.0046529512440278845,0.8676987488502513,0.011726658147023762
2662,0.917943626855096,0.0029855279319059595,0.8743912106657585,0.010910667711291604
3043,0.9177120784605822,0.002298967300783106,0.8786523575922633,0.012540879684031185
3423,0.9184973080493017,0.002089277329090695,0.8827472411977905,0.011697639114321172
3804,0.9175232470092908,0.0015678937094101581,0.8821500344208616,0.00914732667985189
