Training_Size,Training_R2_Mean,Training_R2_Std,Validation_R2_Mean,Validation_R2_Std
380,0.9040538774852088,0.005466898849943032,0.8252659766755143,0.008829549620961781
760,0.8922893188869081,0.00538745792263672,0.8403619162307516,0.01579664198320676
1141,0.8909858733423258,0.004940528591813132,0.8516857281059167,0.009827873663236768
1521,0.8850460788369585,0.005129416779409356,0.8531450692684983,0.010120135485358952
1902,0.880277537146462,0.003453254488154955,0.8556651484897542,0.010493970477810966
2282,0.8744612000151039,0.0028467401254155594,0.8579178314734325,0.010012608060994512
2662,0.870915927535305,0.0024422670888631075,0.857926490878579,0.011387763251448246
3043,0.8672753219460108,0.001985241261636013,0.858823059187746,0.010464138283042162
3423,0.8668551164200821,0.0020366404309417017,0.8589911635303912,0.010919794398789647
3804,0.8676433170862221,0.0018849241799733336,0.859812561660467,0.009420963665561255
