Training_Size,Training_R2_Mean,Training_R2_Std,Validation_R2_Mean,Validation_R2_Std
380,0.9403173387850616,0.00218565005120838,0.7430508357110753,0.027493211626897
760,0.9341623481944857,0.004175177332210187,0.7607354541756723,0.044134876226345855
1141,0.9239442438075123,0.007524823763017157,0.8148163316983155,0.023025674383232407
1521,0.9205484354211133,0.006261302079740196,0.8342227141416668,0.02050336030429355
1902,0.9157804066459269,0.006310929480653138,0.8510478699478121,0.017885286374956563
2282,0.9126264493719306,0.004535579840187669,0.8584668554450653,0.018275220318344408
2662,0.9109318652903934,0.004528419950195056,0.8633647174957849,0.01832368547006915
3043,0.9088155374065174,0.004056713867291571,0.8679208203040357,0.019303431763936132
3423,0.9093761524971006,0.0037865995509414694,0.8730704927543321,0.018436985098310127
3804,0.9098918815195557,0.0034740770501817332,0.8755638147646838,0.01555280140255246
