Training_Size,Training_R2_Mean,Training_R2_Std,Validation_R2_Mean,Validation_R2_Std
380,0.9855831649699223,0.0019106980622099065,0.8005307349525115,0.018513583268197045
760,0.9692679858325542,0.0017209362903338294,0.8441454711937642,0.01509076005225991
1141,0.9586557579050317,0.0028117264858392573,0.8585789170936868,0.011718553002837329
1521,0.9487680321607334,0.004049762657910399,0.8655162444230099,0.01499770316118639
1902,0.9383544821415883,0.0035964996837609007,0.8710391709457147,0.012645708568443804
2282,0.9312583946166146,0.004176669769606889,0.8771298261251772,0.012193166353466343
2662,0.9255370285375681,0.003475345758391011,0.8777667826496387,0.012555822766610257
3043,0.9229649869805678,0.002495377945258831,0.8792955692173463,0.014869534856348862
3423,0.9215831781809406,0.0023927461073178237,0.8823326768743607,0.012779274607932717
3804,0.9214097178189398,0.001727217526372782,0.8839120784593973,0.010860596417388886
